     #Rep       r/D      r/D        <U_z>           <p>   <U_r(rms)>  <U_phi(rms)>  <U_z(rms)>     <UW(res)>     <UW(vsc)>     <UW(tot)>     <UUU(res)>     <UVV(res)>     <UWW(res)>   <TKE(res)>    <Dissip>
      70   0.36198  0.36458  15.922599    -0.19624044   0.81749413     1.0204203   1.8001645   0.66483729    0.058242126   0.72307942    -0.029425597   -0.010317488   -0.8522802     2.4504952    15.177364
      71   0.36719  0.36979  15.811111    -0.18277773   0.81172285     1.0229987   1.8340476   0.67220176    0.060792945   0.73299471    -0.019868677   -0.010291116   -0.88186715    2.5094844    15.831942
      72   0.3724   0.375    15.694626    -0.16730451   0.8046765      1.0247201   1.8701001   0.6791966     0.063599618   0.74279622    -0.010054824   -0.010000757   -0.91188186    2.5718581    16.529664
      73   0.3776   0.38021  15.572613    -0.14963677   0.79618746     1.025405    1.9084262   0.68574764    0.06673323    0.75248087    -2.499266E-04  -0.0092922728  -0.94153139    2.6377854    17.281422
      74   0.38281  0.38542  15.444376    -0.12956344   0.78607583     1.0250498   1.9491487   0.69178135    0.070286361   0.76206771     0.0093679534  -0.0083239669  -0.96982004    2.7076507    18.094724
      75   0.38802  0.39062  15.309039    -0.10691033   0.77418924     1.0237076   1.9923856   0.69727074    0.074386999   0.77165774     0.018660099   -0.0074627256  -0.99622546    2.7819545    18.974389
      76   0.39323  0.39583  15.165425    -0.081563825  0.76038846     1.0214116   2.0383802   0.7020626     0.079236254   0.78129885     0.02742923    -0.006952606   -1.0199409     2.8615145    19.91937
      77   0.39844  0.40104  15.011903    -0.053439661  0.74451876     1.0182076   2.0875652   0.70590476    0.085088305   0.79099307     0.035495974   -0.0067634898  -1.0395797     2.9476313    20.917221
      78   0.40365  0.40625  14.846344    -0.022470602  0.72641461     1.0142013   2.1401369   0.7085257     0.092241443   0.80076714     0.04276161    -0.0067590255  -1.0538643     3.0412766    21.976752
      79   0.40885  0.41146  14.665997     0.011387666  0.70588999     1.0095292   2.1959627   0.70954016    0.10106205    0.81060222     0.049060216   -0.0069192818  -1.0596212     3.1428345    23.134508
      80   0.41406  0.41667  14.467361     0.048166293  0.68272167     1.004349    2.2550538   0.70864046    0.11193314    0.8205736      0.054086818   -0.0073589898  -1.0523236     3.2530375    24.396758
      81   0.41927  0.42187  14.246248     0.087844801  0.65669821     0.99880103  2.3173724   0.70555156    0.12525364    0.8308052      0.057582919   -0.0082222796  -1.0283826     3.3725475    25.750161
      82   0.42448  0.42708  13.99766      0.13025553   0.62769164     0.9928533   2.3824796   0.69970073    0.14156513    0.84126585     0.059410822   -0.0094335874  -0.98391678    3.5010133    27.199805
      83   0.42969  0.43229  13.715379     0.17504304   0.59563307     0.98613298  2.4496004   0.69025633    0.16159644    0.85185277     0.059357504   -0.01066653    -0.91465774    3.6369532    28.738635
      84   0.4349   0.4375   13.391673     0.22171829   0.56046402     0.97803683  2.5174581   0.67633518    0.18622231    0.86255749     0.057197517   -0.011526678   -0.817555      3.7772547    30.334226
      85   0.4401   0.44271  13.017045     0.26966627   0.52217067     0.96767019  2.5838529   0.6569137     0.21651649    0.87343019     0.05298178    -0.011978713   -0.69044154    3.9158838    31.940022
      86   0.44531  0.44792  12.579737     0.31811866   0.48079913     0.95374091  2.6451829   0.63064514    0.25386475    0.88450989     0.047044596   -0.012338886   -0.53225465    4.0422741    33.512659
      87   0.45052  0.45312  12.065053     0.36618399   0.43641015     0.93469845  2.6959678   0.59578549    0.29998547    0.89577097     0.039838559   -0.012775752   -0.3448201     4.1399044    34.995884
      88   0.45573  0.45833  11.454791     0.41292074   0.38902032     0.90903603  2.7283731   0.55032123    0.35681338    0.90713461     0.031835024   -0.013233736   -0.1351901     4.1851902    36.277825
      89   0.46094  0.46354  10.727002     0.4573273    0.33870813     0.87532843  2.7313651   0.49231776    0.426194      0.91851176     0.023643619   -0.013510842    0.080725965   4.1459049    37.187896
      90   0.46615  0.46875   9.8565635    0.49826974   0.28575067     0.83200554  2.6895206   0.42057139    0.50924523    0.92981662     0.016005899   -0.013212598    0.27517191    3.980303     37.559568
      91   0.47135  0.47396   8.8173328    0.53453039   0.23063827     0.77726332  2.5818897   0.3356292     0.60521494    0.94084415     0.009576354   -0.011851498    0.40783393    3.6401952    37.408993
      92   0.47656  0.47917   7.5870075    0.5649159    0.1742091      0.70884429  2.3818383   0.24134941    0.70984233    0.95119174     0.0048148283  -0.0092641916   0.43492995    3.0838886    37.238322
      93   0.48177  0.48437   6.155424     0.58836712   0.11803593     0.62319722  2.0599874   0.1467069     0.81358875    0.96029565     0.0018500568  -0.0058424818   0.33706995    2.3069292    38.327625
      94   0.48698  0.48958   4.5360497    0.6041536    0.065292377    0.5129413   1.5956533   0.066797389   0.90171362    0.96851101     4.460383E-04  -0.0026344947   0.16493709    1.3946056    42.069641
      95   0.49219  0.49479   2.7739979    0.61236103   0.022213584    0.36382153  1.0011787   0.017508665   0.96044467    0.97795333     4.455106E-05  -6.209877E-04   0.034846698   0.56047401   47.429143
      96   0.4974   0.5       0.93438217   0.61474663   0              0.15418553  0.33778823  0.0011822667  0.98890136    0.99008363     6.585366E-07  -1.239871E-05   9.01436E-04   0.067358606  52.144313
